sample_id	Filtered_tumor_regions	genetic_clone
HT308B1-S1H1Fc2U1Z1Bs1	1	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	10	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	11	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	12	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	14	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	15	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	16	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	17	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	19	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	20	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	21	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	22	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	24	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	25	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	26	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	27	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	28	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	29	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	3	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	30	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	31	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	32	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	33	clone_2
HT308B1-S1H1Fc2U1Z1Bs1	5	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	1	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	10	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	11	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	12	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	13	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	14	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	15	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	16	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	17	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	2	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	20	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	21	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	22	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	23	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	27	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	29	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	3	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	30	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	31	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	32	clone_2
HT308B1-S1H4Fc2U1Z1Bs1	33	clone_2
